Original_Date,Year,Month,Day,Site,Actitis macularius,Agelasticus cyanopus,Chionomesa lactea,Amazonetta brasiliensis,Anas bahamensis,Anas flavirostris,Anas georgica,Spatula versicolor,Anhinga anhinga,Aramides cajaneus,Aramides saracura,Aramus guarauna,Ardea alba,Ardea cocoi,Bartramia longicauda,Ardea ibis,Butorides striata,Cairina moschata,Calidris fuscicollis,Calidris himantopus,Calidris melanotos,Camptostoma obsoletum,Caracara plancus,Anarhynchus collaris,Chloroceryle amazona,Chloroceryle americana,Chrysomus ruficapillus,Conirostrum speciosum,Coragyps atratus,Cyclarhis gujanensis,Dendrocygna autumnalis,Dendrocygna bicolor,Dendrocygna viduata,Donacobius atricapilla,Dryocopus lineatus,Egretta thula,Elaenia flavogaster,Elaenia mesoleuca,Elaenia spectabilis,Empidonomus varius,Falco femoralis,Forpus xanthopterygius,Furnarius figulus,Gallinula galeata,Gallinago paraguaiae,Alopochen aegyptiaca,Himantopus mexicanus melanurus,Hirundo rustica,Icterus jamacaii,Ictinia plumbea,Jacana jacana,Laterallus melanophaius,Megaceryle torquata,Melanerpes candidus,Mesembrinibis cayennensis,Molothrus bonariensis,Myiarchus ferox,Myiarchus swainsoni,Myiodynastes maculatus,Myiophobus fasciatus,Nannopterum brasilianum,Nycticorax nycticorax,Parabuteo unicinctus,Pardirallus nigricans,Pardirallus sanguinolentus,Paroaria coronata,Patagioenas picazuro,Phacellodomus ferrugineigula,Phalaropus tricolor,Phimosus infuscatus,Pionus maximiliani,Pitangus sulphuratus,Platalea ajaja,Pluvialis dominica,Podilymbus podiceps,Porphyrio martinica,Psittacara leucophthalmus,Pyrocephalus rubinus,Pyroderus scutatus,Ramphastos dicolorus,Ramphocelus bresilia,Rostrhamus sociabilis,Rynchops niger,Satrapa icterophrys,Serpophaga subcristata,Sicalis flaveola,Syrigma sibilatrix,Spinus magellanicus,Streptoprocne zonaris,Tachybaptus dominicus,Tachycineta leucorrhoa,Tapera naevia,Thamnophilus ruficapillus,Theristicus caudatus,Tigrisoma lineatum,Tringa flavipes,Tringa melanoleuca,Tringa solitaria,Turdus amaurochalinus,Turdus flavipes,Tyrannus melancholicus,Tyrannus savana,Vanellus chilensis,Veniliornis spilogaster,Vireo chivi,Volatinia jacarina
19/03/2004,2004,March,19,Embu,,,,2,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,2,,,,4,,,,,,,,5,,,44,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,1,14,,,,,,12,,,
12/9/05,2005,September,12,Embu,,,,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,50,300,,,,,,,,,,,200,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,150,300,1,,,,,150,,,
10/8/05,2005,August,10,Embu,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,
11/22/05,2005,November,22,Embu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,120,,,,,,,,,
11/25/05,2005,November,25,Embu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,100,200,,,,,,,,,
26/03/2006,2006,March,26,Embu,,,,6,4,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,60,150,1,,,,,80,,,
23/01/2006,2006,January,23,Embu,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/06,2006,February,112,Embu,,,,45,26,,,,,2,,,1,1,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,220,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,210,1,,,,,200,,,
2/12/06,2006,February,12,PET,,,,1,1,,,,1,,,11,4,,,,3,,,,,,,,,,,,,,,4,1,,,5,,,,,,,,29,1,,,,,,9,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,119,,,
2/21/06,2006,February,21,Embu,,,,,4,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,,,,,,,,,
5/20/06,2006,May,20,Embu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
6/6/06,2006,June,6,Embu,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/30/06,2006,July,30,Embu,,,,24,57,,,,,,,,6,,,,,,,,,,,,,,,,,,,,16,,,6,,,,,,,,18,8,,200,,,,11,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,56,,,
9/20/06,2006,September,20,Embu,,,,,24,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,1,,,,,,,,
