Original_Date,Year,Month,Day,Site,Species,Count,Date
19/03/2004,2004,March,19,Embu,Amazonetta brasiliensis,2,2004-03-19
19/03/2004,2004,March,19,Embu,Ardea alba,2,2004-03-19
19/03/2004,2004,March,19,Embu,Ardea cocoi,1,2004-03-19
19/03/2004,2004,March,19,Embu,Butorides striata,1,2004-03-19
19/03/2004,2004,March,19,Embu,Dendrocygna bicolor,2,2004-03-19
19/03/2004,2004,March,19,Embu,Egretta thula,4,2004-03-19
19/03/2004,2004,March,19,Embu,Gallinula galeata,5,2004-03-19
19/03/2004,2004,March,19,Embu,Himantopus mexicanus melanurus,44,2004-03-19
19/03/2004,2004,March,19,Embu,Jacana jacana,2,2004-03-19
19/03/2004,2004,March,19,Embu,Nycticorax nycticorax,1,2004-03-19
19/03/2004,2004,March,19,Embu,Podilymbus podiceps,1,2004-03-19
19/03/2004,2004,March,19,Embu,Syrigma sibilatrix,2,2004-03-19
19/03/2004,2004,March,19,Embu,Tringa flavipes,1,2004-03-19
19/03/2004,2004,March,19,Embu,Tringa melanoleuca,14,2004-03-19
19/03/2004,2004,March,19,Embu,Vanellus chilensis,12,2004-03-19
12/9/05,2005,September,12,Embu,Amazonetta brasiliensis,25,2005-09-12
12/9/05,2005,September,12,Embu,Anas bahamensis,24,2005-09-12
12/9/05,2005,September,12,Embu,Dendrocygna bicolor,50,2005-09-12
12/9/05,2005,September,12,Embu,Dendrocygna viduata,300,2005-09-12
12/9/05,2005,September,12,Embu,Gallinula galeata,200,2005-09-12
12/9/05,2005,September,12,Embu,Himantopus mexicanus melanurus,74,2005-09-12
12/9/05,2005,September,12,Embu,Platalea ajaja,1,2005-09-12
12/9/05,2005,September,12,Embu,Tringa flavipes,150,2005-09-12
12/9/05,2005,September,12,Embu,Tringa melanoleuca,300,2005-09-12
12/9/05,2005,September,12,Embu,Tringa solitaria,1,2005-09-12
12/9/05,2005,September,12,Embu,Vanellus chilensis,150,2005-09-12
10/8/05,2005,August,10,Embu,Anas bahamensis,8,2005-08-10
10/8/05,2005,August,10,Embu,Himantopus mexicanus melanurus,40,2005-08-10
10/8/05,2005,August,10,Embu,Platalea ajaja,2,2005-08-10
10/8/05,2005,August,10,Embu,Tringa melanoleuca,300,2005-08-10
11/22/05,2005,November,22,Embu,Himantopus mexicanus melanurus,200,2005-11-22
11/22/05,2005,November,22,Embu,Tringa flavipes,80,2005-11-22
11/22/05,2005,November,22,Embu,Tringa melanoleuca,120,2005-11-22
11/25/05,2005,November,25,Embu,Himantopus mexicanus melanurus,150,2005-11-25
11/25/05,2005,November,25,Embu,Platalea ajaja,1,2005-11-25
11/25/05,2005,November,25,Embu,Tringa flavipes,100,2005-11-25
11/25/05,2005,November,25,Embu,Tringa melanoleuca,200,2005-11-25
26/03/2006,2006,March,26,Embu,Amazonetta brasiliensis,6,2006-03-26
26/03/2006,2006,March,26,Embu,Anas bahamensis,4,2006-03-26
26/03/2006,2006,March,26,Embu,Bartramia longicauda,18,2006-03-26
26/03/2006,2006,March,26,Embu,Gallinula galeata,50,2006-03-26
26/03/2006,2006,March,26,Embu,Himantopus mexicanus melanurus,200,2006-03-26
26/03/2006,2006,March,26,Embu,Syrigma sibilatrix,2,2006-03-26
26/03/2006,2006,March,26,Embu,Tringa flavipes,60,2006-03-26
26/03/2006,2006,March,26,Embu,Tringa melanoleuca,150,2006-03-26
26/03/2006,2006,March,26,Embu,Tringa solitaria,1,2006-03-26
26/03/2006,2006,March,26,Embu,Vanellus chilensis,80,2006-03-26
23/01/2006,2006,January,23,Embu,Bartramia longicauda,18,2006-01-23
2/12/06,2006,February,112,Embu,Amazonetta brasiliensis,45,2006-11-02
2/12/06,2006,February,112,Embu,Anas bahamensis,26,2006-11-02
2/12/06,2006,February,112,Embu,Aramides cajaneus,2,2006-11-02
2/12/06,2006,February,112,Embu,Ardea alba,1,2006-11-02
2/12/06,2006,February,112,Embu,Ardea cocoi,1,2006-11-02
2/12/06,2006,February,112,Embu,Ardea ibis,18,2006-11-02
2/12/06,2006,February,112,Embu,Gallinula galeata,20,2006-11-02
2/12/06,2006,February,112,Embu,Himantopus mexicanus melanurus,220,2006-11-02
2/12/06,2006,February,112,Embu,Nannopterum brasilianum,1,2006-11-02
2/12/06,2006,February,112,Embu,Tringa flavipes,70,2006-11-02
2/12/06,2006,February,112,Embu,Tringa melanoleuca,210,2006-11-02
2/12/06,2006,February,112,Embu,Tringa solitaria,1,2006-11-02
2/12/06,2006,February,112,Embu,Vanellus chilensis,200,2006-11-02
2/12/06,2006,February,12,PET,Amazonetta brasiliensis,1,2006-02-12
2/12/06,2006,February,12,PET,Anas bahamensis,1,2006-02-12
2/12/06,2006,February,12,PET,Anhinga anhinga,1,2006-02-12
2/12/06,2006,February,12,PET,Aramus guarauna,11,2006-02-12
2/12/06,2006,February,12,PET,Ardea alba,4,2006-02-12
2/12/06,2006,February,12,PET,Butorides striata,3,2006-02-12
2/12/06,2006,February,12,PET,Dendrocygna bicolor,4,2006-02-12
2/12/06,2006,February,12,PET,Dendrocygna viduata,1,2006-02-12
2/12/06,2006,February,12,PET,Egretta thula,5,2006-02-12
2/12/06,2006,February,12,PET,Gallinula galeata,29,2006-02-12
2/12/06,2006,February,12,PET,Gallinago paraguaiae,1,2006-02-12
2/12/06,2006,February,12,PET,Jacana jacana,9,2006-02-12
2/12/06,2006,February,12,PET,Pardirallus nigricans,2,2006-02-12
2/12/06,2006,February,12,PET,Theristicus caudatus,1,2006-02-12
2/12/06,2006,February,12,PET,Vanellus chilensis,119,2006-02-12
2/21/06,2006,February,21,Embu,Anas bahamensis,4,2006-02-21
2/21/06,2006,February,21,Embu,Bartramia longicauda,16,2006-02-21
2/21/06,2006,February,21,Embu,Himantopus mexicanus melanurus,300,2006-02-21
2/21/06,2006,February,21,Embu,Tringa flavipes,200,2006-02-21
2/21/06,2006,February,21,Embu,Tringa melanoleuca,200,2006-02-21
5/20/06,2006,May,20,Embu,Gallinago paraguaiae,1,2006-05-20
5/20/06,2006,May,20,Embu,Himantopus mexicanus melanurus,100,2006-05-20
5/20/06,2006,May,20,Embu,Tringa flavipes,1,2006-05-20
6/6/06,2006,June,6,Embu,Anas bahamensis,2,2006-06-06
6/6/06,2006,June,6,Embu,Gallinago paraguaiae,5,2006-06-06
6/6/06,2006,June,6,Embu,Himantopus mexicanus melanurus,70,2006-06-06
7/30/06,2006,July,30,Embu,Amazonetta brasiliensis,24,2006-07-30
7/30/06,2006,July,30,Embu,Anas bahamensis,57,2006-07-30
7/30/06,2006,July,30,Embu,Ardea alba,6,2006-07-30
7/30/06,2006,July,30,Embu,Dendrocygna viduata,16,2006-07-30
7/30/06,2006,July,30,Embu,Egretta thula,6,2006-07-30
7/30/06,2006,July,30,Embu,Gallinula galeata,18,2006-07-30
7/30/06,2006,July,30,Embu,Gallinago paraguaiae,8,2006-07-30
7/30/06,2006,July,30,Embu,Himantopus mexicanus melanurus,200,2006-07-30
7/30/06,2006,July,30,Embu,Jacana jacana,11,2006-07-30
7/30/06,2006,July,30,Embu,Pardirallus nigricans,2,2006-07-30
7/30/06,2006,July,30,Embu,Syrigma sibilatrix,2,2006-07-30
7/30/06,2006,July,30,Embu,Tringa melanoleuca,1,2006-07-30
7/30/06,2006,July,30,Embu,Vanellus chilensis,56,2006-07-30
9/20/06,2006,September,20,Embu,Anas bahamensis,24,2006-09-20
9/20/06,2006,September,20,Embu,Bartramia longicauda,4,2006-09-20
9/20/06,2006,September,20,Embu,Gallinago paraguaiae,2,2006-09-20
9/20/06,2006,September,20,Embu,Tringa melanoleuca,200,2006-09-20
9/20/06,2006,September,20,Embu,Tringa solitaria,1,2006-09-20
10/21/06,2006,October,21,Embu,Anas bahamensis,8,2006-10-21
10/21/06,2006,October,21,Embu,Aramus guarauna,1,2006-10-21
10/21/06,2006,October,21,Embu,Gallinago paraguaiae,2,2006-10-21
10/21/06,2006,October,21,Embu,Himantopus mexicanus melanurus,2,2006-10-21
10/21/06,2006,October,21,Embu,Nannopterum brasilianum,1,2006-10-21
10/21/06,2006,October,21,Embu,Tringa melanoleuca,150,2006-10-21
10/21/06,2006,October,21,Embu,Tringa solitaria,4,2006-10-21
2/11/07,2007,February,11,Embu,Amazonetta brasiliensis,60,2007-02-11
2/11/07,2007,February,11,Embu,Anas bahamensis,2,2007-02-11
2/11/07,2007,February,11,Embu,Ardea alba,4,2007-02-11
2/11/07,2007,February,11,Embu,Ardea cocoi,1,2007-02-11
2/11/07,2007,February,11,Embu,Bartramia longicauda,8,2007-02-11
2/11/07,2007,February,11,Embu,Ardea ibis,25,2007-02-11
2/11/07,2007,February,11,Embu,Butorides striata,2,2007-02-11
2/11/07,2007,February,11,Embu,Dendrocygna viduata,18,2007-02-11
2/11/07,2007,February,11,Embu,Gallinago paraguaiae,18,2007-02-11
2/11/07,2007,February,11,Embu,Himantopus mexicanus melanurus,200,2007-02-11
2/11/07,2007,February,11,Embu,Nycticorax nycticorax,4,2007-02-11
2/11/07,2007,February,11,Embu,Tringa flavipes,100,2007-02-11
2/11/07,2007,February,11,Embu,Tringa melanoleuca,250,2007-02-11
2/11/07,2007,February,11,Embu,Tringa solitaria,2,2007-02-11
2/12/07,2007,February,12,PET,Actitis macularius,1,2007-02-12
2/12/07,2007,February,12,PET,Amazonetta brasiliensis,3,2007-02-12
2/12/07,2007,February,12,PET,Anas bahamensis,54,2007-02-12
2/12/07,2007,February,12,PET,Anhinga anhinga,1,2007-02-12
2/12/07,2007,February,12,PET,Aramus guarauna,3,2007-02-12
2/12/07,2007,February,12,PET,Ardea alba,1,2007-02-12
2/12/07,2007,February,12,PET,Butorides striata,7,2007-02-12
2/12/07,2007,February,12,PET,Calidris melanotos,3,2007-02-12
2/12/07,2007,February,12,PET,Chloroceryle amazona,2,2007-02-12
2/12/07,2007,February,12,PET,Dendrocygna bicolor,38,2007-02-12
2/12/07,2007,February,12,PET,Dendrocygna viduata,4,2007-02-12
2/12/07,2007,February,12,PET,Egretta thula,2,2007-02-12
2/12/07,2007,February,12,PET,Gallinula galeata,142,2007-02-12
2/12/07,2007,February,12,PET,Himantopus mexicanus melanurus,17,2007-02-12
2/12/07,2007,February,12,PET,Jacana jacana,10,2007-02-12
2/12/07,2007,February,12,PET,Nannopterum brasilianum,1,2007-02-12
2/12/07,2007,February,12,PET,Nycticorax nycticorax,1,2007-02-12
2/12/07,2007,February,12,PET,Pardirallus nigricans,2,2007-02-12
2/12/07,2007,February,12,PET,Platalea ajaja,2,2007-02-12
2/12/07,2007,February,12,PET,Tringa flavipes,41,2007-02-12
2/12/07,2007,February,12,PET,Tringa melanoleuca,27,2007-02-12
2/12/07,2007,February,12,PET,Tringa solitaria,7,2007-02-12
2/12/07,2007,February,12,PET,Vanellus chilensis,58,2007-02-12
2/17/07,2007,February,17,Embu,Amazonetta brasiliensis,80,2007-02-17
2/17/07,2007,February,17,Embu,Bartramia longicauda,15,2007-02-17
2/17/07,2007,February,17,Embu,Gallinago paraguaiae,6,2007-02-17
2/17/07,2007,February,17,Embu,Himantopus mexicanus melanurus,200,2007-02-17
2/17/07,2007,February,17,Embu,Tringa flavipes,80,2007-02-17
2/17/07,2007,February,17,Embu,Tringa melanoleuca,250,2007-02-17
3/15/07,2007,March,15,Embu,Amazonetta brasiliensis,4,2007-03-15
3/15/07,2007,March,15,Embu,Bartramia longicauda,14,2007-03-15
3/15/07,2007,March,15,Embu,Gallinago paraguaiae,16,2007-03-15
3/15/07,2007,March,15,Embu,Himantopus mexicanus melanurus,200,2007-03-15
3/15/07,2007,March,15,Embu,Tringa flavipes,80,2007-03-15
3/15/07,2007,March,15,Embu,Tringa melanoleuca,180,2007-03-15
3/15/07,2007,March,15,Embu,Tringa solitaria,1,2007-03-15
4/11/07,2007,April,11,Embu,Amazonetta brasiliensis,80,2007-04-11
4/11/07,2007,April,11,Embu,Gallinago paraguaiae,10,2007-04-11
4/11/07,2007,April,11,Embu,Himantopus mexicanus melanurus,55,2007-04-11
4/11/07,2007,April,11,Embu,Tringa flavipes,40,2007-04-11
